id,property_id,legacy_access_id,deal_kind,status,title,closing_reason,cancellation_reason,started_on,signed_on,cancelled_on,closed_on,deed_signed_on,notes
2cecd365-31f2-dc5f-e869-1c2d4fadaf54,58377572-ea14-6625-4385-ff5b60e1a1bc,506,closing,draft,RAR-917 closing,,,,,,,,
8cc0519a-5725-f051-e447-c684df0a31b0,6f5254c2-154a-d737-fe20-bf26f3d68ee3,507,closing,completed,RAR-919 closing,,,,,,2017-02-25,,
45b8c1e9-4265-93b8-f1e1-05068c99a81e,696ee331-750c-1c95-4364-0307c6521006,508,cancellation,completed,RAR-925 cancellation,,,,,,2017-05-16,,
fbb7394b-3026-a0b7-72de-e209d00f1c85,6b0c83dc-0020-9ee6-36c0-d5d33c310579,509,closing,completed,RAR-944 closing,,,,,,2017-05-05,,
b53eea7c-1bd0-50f8-5a6a-d295cbe54900,865f1e6e-0608-4768-8daf-f6730e55a157,510,closing,completed,RAR-945 closing,,,,,,2017-05-03,,
2ebc67be-4b51-88b8-d9a3-f6ff486be685,5d02ab0e-8221-3d2f-6880-30af9b24b99d,511,closing,draft,RAR-950 closing,,,,,,,,
71059b90-9984-cb48-71d9-632aded290a6,38c7ad3d-2735-9070-b1ca-4d0472562a05,512,closing,completed,RAR-953 closing,,,,,,2017-05-26,,
61112e29-12ef-83ad-fe03-35f8079c923b,c94829e8-e36b-128c-9cd0-34d59b69a8e3,513,closing,completed,RAR-958 closing,,,,,,2017-07-25,,
5f541a7e-487d-a94c-7fc9-85eedf0fd37d,984494c9-d958-cc72-3ce9-fb3d9d831977,514,closing,completed,RAR-975 closing,,,,,,2017-06-08,,
f36f0631-9d62-208b-0768-c6e45f189e6e,6bccb0cb-3c60-5b08-fe3d-b3f1cc612df6,515,closing,completed,RAR-989 closing,,,,,,2017-11-05,,
5f38ccb1-5d17-e51e-dd0f-9315c00c8fa8,69335f9f-1844-a7e7-e7af-fdca81d9fcc9,516,closing,draft,RAR-994 closing,,,,,,,,
2b626e78-af8f-9cdd-4044-cf92b8ccb8f8,5e51c36b-9bca-6e41-b7f0-6595dab5c48f,517,cancellation,completed,RAR-998 cancellation,,,,,,2018-01-09,,
a7ec0be7-9c71-b3da-d086-4048994b8fd8,65e0fdee-25c8-bb76-8db1-93cba994c250,518,closing,draft,RAR-COOP104 closing,,,,,,,,
e9665326-4233-e54e-f0b4-b4239b347d3d,bf5d59a6-d764-782a-542a-2ced1accca4c,519,closing,draft,RAR-COOP105 closing,,,,,,,,
85e1c907-a1cd-8e60-35fc-edd46c27b01f,5a1ed211-f3df-8a52-5115-798195e00cd9,520,closing,draft,RAR-COOP47 closing,,,,,,,,
7ac88606-00dd-2a75-171a-cf7160a0ccbf,98a8a44f-5ffa-c5ef-e641-63464bc6e19a,521,closing,draft,RAR-COOP71 closing,,,,,,,,
af4baaca-060d-9957-7450-46a35611581d,b7283432-e328-4403-2ed7-424228a62b3d,522,closing,draft,RAR-COOP84 closing,,,,,,,,
b7dbddd9-87e5-f445-7397-3e2733d522d1,b94f4338-16ab-7765-f87d-1f85d88351c5,523,closing,draft,RAR-COOP94 closing,,,,,,,,
63e9e203-0c5f-e3eb-e39f-f9819f469c48,108f4ee4-d5c5-01de-7dfb-66ca3f46594b,524,closing,draft,RAR-COOP98 closing,,,,,,,,
070571f7-d80d-e078-825a-4f8eca1b10e5,a159f2a7-22c4-de3f-ced6-6eb55f5c60eb,525,cancellation,completed,RAV-108 cancellation,,,,,,2012-09-01,,
dd21af4a-1292-2f5e-ca6f-2780e6010875,fdedd26f-5f58-3920-b586-3a3dbc0296e3,526,closing,completed,RAV-1081 closing,,,2018-11-30,2018-11-30,,2019-01-30,2019-01-30,
954b91ba-3324-f5ee-5ccc-c2c64d216b46,5190812f-1e28-f798-e6c5-52b8cdf7dc98,527,closing,completed,RAV-1177 closing,,,,,,2019-04-05,2019-04-05,
c3170f8c-6e02-d519-3ee4-92980389fef5,cd205497-c9ac-62f0-7e8f-b55cc5e5ef97,528,closing,completed,RAV-120 closing,,,,,,2012-06-05,,
1e87177d-16ca-ab38-4cdf-19733b84827b,37f51286-4915-2180-393d-97e24a812cfd,529,closing,completed,RAV-1210 closing,,,,,,2019-06-16,2019-05-16,
6a629e52-02db-abc8-1cd7-6a7fd3528bd0,60adf6d8-4a82-3d3f-336a-0de542906b65,530,closing,completed,RAV-1211 closing,,,2019-01-25,2019-01-25,,2019-02-08,2019-02-08,Pendiente
4e50daf5-075b-fd1e-eb1a-446789954e17,a5ba15cb-cd06-203a-27f4-04f16dcf4e86,531,closing,draft,RAV-1218 closing,,,,,,,,
f1d4718b-580f-ac4d-c025-f4d2f04570c4,5413fc18-ae1f-f51e-f2be-4342358e6495,532,cancellation,completed,RAV-17 cancellation,,,,,,2012-02-01,,
71e79ab9-67b0-8056-e73c-9d7dc8a41688,cac7c9c0-1fef-0cd9-fa4e-4564db48497c,533,closing,completed,RAV-176 closing,,,,,,2013-08-17,,
8e711e13-8be4-629a-8d9b-f440687f61ab,d88f9aa8-b86f-3c2b-ba4a-69f190bacb77,534,cancellation,completed,RAV-180 cancellation,,,,,,2013-08-01,,
9332431d-61cb-e665-abb1-c69948dd4973,a59da972-bbbd-04f1-4124-2f09adb6fca8,535,cancellation,completed,RAV-181 cancellation,,,,,,2013-08-01,,
5f70a058-79f9-796d-17a4-a9c9593d72f8,f2c6950d-f559-bc7a-bbbe-cafc7a388dc4,536,cancellation,completed,RAV-182 cancellation,,,,,,2013-08-01,,
c501daf0-4eb2-137f-9315-576864d1d01b,c907ae28-c996-56b7-f9b4-9a32b208db5c,537,cancellation,completed,RAV-183 cancellation,,,,,,2013-08-01,,
38ee7f9f-826e-c1a2-343b-04f4adf9428c,77ae9128-4b2f-6b05-1a50-19b98f6c44d8,538,cancellation,completed,RAV-184 cancellation,,,,,,2013-08-01,,
b5149e82-dad6-d252-9c20-8b7f65613d99,eb2cdea0-948b-659a-4bd4-4c4599ef3ee8,539,cancellation,completed,RAV-185 cancellation,,,,,,2013-08-01,,
52b1add7-5bfe-b372-a2a1-432a512b7471,9b382a04-cc07-84be-6b03-9140b6a95db8,540,cancellation,completed,RAV-186 cancellation,,,,,,2013-08-01,,
8138aba9-1dc9-3812-0035-5ce639b4bd6a,ef42c885-7f92-7fbf-d5ac-ac73f439fd49,541,cancellation,completed,RAV-187 cancellation,,,,,,2013-08-01,,
50b19b83-0848-06f7-7b19-b5c63451f810,a623f030-ff79-72ff-d7ba-37b1f0502e81,542,cancellation,completed,RAV-188 cancellation,,,,,,2013-08-01,,
df95eaa4-5a0b-4a60-8a22-651141162a21,5c68bda3-2739-f79c-ae42-ec11386981d7,543,cancellation,completed,RAV-189 cancellation,,,,,,2013-08-01,,
efaa18bd-d2bf-dcb8-b84d-c6738ea5105b,58dc982d-3f61-fe2f-7e27-db48aa720c61,544,closing,completed,RAV-2 closing,,,,,,2011-04-15,,
85568efb-b16e-9e8e-4d89-233f1d60b69d,1f141427-16b5-9002-6b21-2f85ed2cbb21,545,cancellation,completed,RAV-211 cancellation,,,,,,2013-07-01,,
8e749720-b42e-28fa-8076-242ba8f936fb,1d378e4a-c4ec-5e89-038c-1532e10e2808,546,closing,completed,RAV-215 closing,,,,,,2013-02-05,,
e9cd3a54-7668-23b4-ab59-80b7b9479368,4838c6cd-2d54-38d7-422b-2096f0e9e554,547,cancellation,completed,RAV-231 cancellation,,,,,,2012-12-31,,
5f3fb63d-6844-7def-ae36-22501a6b1df6,1c7a17ca-2c0b-8510-2165-5c535409f74e,548,cancellation,completed,RAV-234 cancellation,,,,,,2013-03-01,,
6e3ee8f8-dbd6-d4d1-4b0f-fa948293223c,2f51e944-5a66-b167-1a96-0f0ec63a5957,549,cancellation,completed,RAV-282 cancellation,,,,,,2013-12-31,,
66ad304a-856a-6536-3af9-9a5104b37ec8,dc569bc8-fe10-f930-e118-4568c9cd45d4,550,closing,completed,RAV-284 closing,,,,,,2013-03-23,,
fd407cbb-f2e2-c45e-6eaa-d40c1210d5d0,47e7e7f4-9470-ea72-1b79-62d8ebce93a9,552,closing,completed,RAV-311 closing,,,,,,2013-04-29,,
d9cc8f58-449e-fffb-d69a-78ef782d982a,5f2a1c8a-d6cb-2b81-e14a-bac22bdd913a,553,cancellation,completed,RAV-321 cancellation,,,,,,2013-12-01,,
9b9cdabc-1d6a-c328-dbb2-4b05dc50e2f8,81fe3b03-11f6-3475-94d3-eeeeaf8276f4,554,closing,completed,RAV-394 closing,,,,,,2014-02-28,,
6709f7b1-414b-8399-8e88-d1dffdefb2fc,0179d4c6-855e-1300-043c-105152e6bd31,555,closing,completed,RAV-436 closing,,,,,,2014-01-16,,
310b12b1-74bc-e488-83f1-37466f955863,45c4bb9a-c569-b881-e533-cb9461a61109,556,closing,completed,RAV-47 closing,,,,,,2011-09-21,,
6febdd66-d69a-095d-bff2-aaa0a3f8dcf4,0a6e7e8b-18b9-38e6-5f09-eeeab4db4d28,557,closing,completed,RAV-473 closing,,,,,,2014-05-02,,
b5e4a099-5517-6a7c-8fa9-6d8d1d3efdec,c66d4241-3238-1c09-08be-25690e2f4557,558,closing,completed,RAV-478 closing,,,,,,2014-09-28,,
547dfc37-1bb7-8dd2-0201-49c502c68d7f,abf7a6ef-3e34-5bbe-af5d-398bf3836a33,559,closing,completed,RAV-511 closing,,,,,,2015-04-17,,
ffdabe31-b775-6f44-9a90-a19bd1422f6b,45fe9f42-d915-d527-e3b4-0205dae55138,560,closing,completed,RAV-513 closing,,,,,,2016-07-28,,
e1d7bc25-e99b-9a97-891e-9a2ecf413acc,b086dae6-d979-0eb1-3ecf-13217fcdafe9,561,closing,completed,RAV-522 closing,,,,,,2014-10-30,,
4194ad11-5a34-edbc-38c7-925acf838e6f,912e9742-02a5-49e2-1753-85b39a7c9db2,562,cancellation,completed,RAV-542 cancellation,,,,,,2014-12-31,,
cd753d88-853d-ede2-71ff-b0388748f323,f10459a7-a066-b667-71b9-21f566ae4670,563,closing,completed,RAV-554 closing,,,,,,2014-11-07,,
def6959f-2bb6-047d-ba3d-d25d86c7e90e,b791d7d8-ca2d-36ff-8212-6f6f899d88a9,564,cancellation,completed,RAV-573 cancellation,,,,,,2014-12-31,,
b37ce223-c349-38f2-534c-3f525bd2893a,446137b5-58cb-07ce-1ce9-2a861377e354,565,closing,completed,RAV-575 closing,,,,,,2015-08-24,,
8d6e0992-4ece-1448-2743-f50341a20479,f9113369-a323-53cb-87fa-ea43bee31a27,566,closing,draft,RAV-579 closing,,,,,,,,
76d85991-aed6-212c-6b0f-ab711c8423b9,545c0c79-1a35-f438-3ba6-e2e0bd8765eb,567,closing,completed,RAV-589 closing,,,,,,2015-02-16,,
aaf1ff52-64ec-94c9-5dd3-954d7ca7596c,be577efe-3f91-6467-104f-0284111b1b5f,568,closing,completed,RAV-590 closing,,,,,,2015-03-06,,
bd92ce86-9b45-c5aa-1264-d99aad9d43b7,89225239-bcaf-95a3-0557-a1f16b4bb6e6,569,cancellation,completed,RAV-602 cancellation,,,,,,2015-07-22,,
5bc0df4e-d0cd-d328-3f7f-0ba08b493012,53b47410-d4fe-be6f-660c-8bdb44cee59e,570,closing,completed,RAV-606 closing,,,,,,2015-04-20,,
0f1d6a44-5dcc-13c3-7365-d77204616962,95eb91e4-c8a3-ea8f-82c8-b7252f8b1b49,571,closing,completed,RAV-617 closing,,,,,,2015-03-10,,
9a712720-bc3e-e821-c075-5b191b3180a7,d107ed8b-1f35-a961-a355-84a4e39a8210,572,closing,completed,RAV-620 closing,,,,,,2015-07-20,,
d77839b3-1019-eaf2-7d5b-df8f364c3bf4,98e88a21-dd96-669e-9dd4-73975397af67,573,cancellation,completed,RAV-7 cancellation,,,,,,2011-09-01,,
